,y_test,prediction
6183,3509.4318,2575.5314363582693
1644,153.7998,588.0752052099697
2480,782.9808,1281.3949007967306
2877,3165.879,3339.939192983279
2491,109.1912,-89.50020825223646
1831,1733.7432,2341.67064034503
6464,2195.8084,1972.3681946284846
6141,4460.86,2796.5217902387412
7016,8062.838,5018.9927026914
1240,3415.554,3284.495557653323
2542,1211.756,1483.5333816849036
4225,233.03,1840.3603827485638
6372,2846.295,2483.858549518416
4220,1571.288,2618.1571594655143
4418,2530.7058,1918.6195626748477
7542,785.644,1276.1909841877132
7198,3981.484,2478.318030718423
2041,633.8416,767.4575821764879
2223,188.4214,1150.319460361892
3852,1073.2696,1222.5955371433292
1142,3747.1224,4288.833890212965
5139,988.0472,1976.5383317407784
7833,4482.1656,3448.5535399754244
6673,1006.6896,4129.414063445645
532,95.8752,-1069.9015247238142
3222,852.224,1320.2403186289566
3581,1006.6896,1740.4848974718755
6043,677.1186,3266.325606593513
7004,870.8664,2371.4403684644085
4013,4857.6768,3880.714901864756
422,3415.554,3722.5154065290744
7899,377.5086,611.5958351418662
1373,5426.27,3338.0132689997627
22,1587.2672,3061.3481286099623
495,2336.958,2923.2692713329016
4781,2784.3756,2596.6556601298207
4270,2360.9268,2110.33913095717
7680,419.454,1368.4194743488003
1718,563.9326,927.91283547355
1683,990.7104,2655.300338752876
6415,126.502,-819.1302066379344
6079,341.5554,650.0977801874532
3744,4334.358,2397.431859767251
2388,1004.0264,3590.552334626869
6024,171.1106,826.2223739710332
6619,2316.984,2790.0740532750406
8487,4111.315,3927.1298431833175
144,905.488,905.8536326837411
3972,1895.5326,2270.1342890864744
574,37.9506,-995.3110347319441
4018,3392.9168,2172.6664948629887
6526,2145.2076,5261.155664900968
4873,4302.3996,5250.128182682323
5968,4996.829,4112.865673032917
3706,4452.8704,5367.22806962227
3648,3257.7594,2508.922787126201
3239,3693.8584,3092.218334174063
1066,2633.9048,1914.038947635433
167,1743.0644,1736.6650465768935
5318,540.6296,595.0037321959906
1869,1518.024,1628.5335945510649
1666,512.666,558.3548753770287
8265,4026.7584,2582.2177294307576
526,283.6308,2071.2916279766214
2931,196.411,1206.7196607914782
1112,1544.656,2681.9116371335513
8004,2446.1492,3620.7689981806907
4872,2940.1728,2957.2840291262837
6711,3563.3616,2356.9904837669037
2632,1629.8784,1722.3987134894578
987,5061.4116,3705.594567474929
6561,1030.6584,2786.9080834301503
1122,1125.202,1549.8483283984006
989,5518.1504,4167.804089020547
776,857.5504,1561.384689695463
274,2082.6224,1488.5640587302664
7376,2399.5432,2285.139465969894
8368,1800.3232,1853.5657651333108
33,2174.5028,1564.244678658708
5379,926.7936,607.960864483912
5253,5645.984,2511.5501047598864
1478,4211.185,4167.091471804117
6376,2651.2156,1926.414538393384
2328,1120.5414,1143.9323395862657
8327,3012.0792,2696.951494739783
8101,2189.1504,2882.9602654061937
8192,2908.2144,1866.784497910817
3664,1318.284,1481.1199996028772
3849,1525.3478,895.1494304389563
2270,695.0952,1853.7716780202684
6757,2807.0128,2648.3539211489697
1656,3455.502,1926.8642596667073
4364,1411.496,2876.223907440357
152,2768.3964,2826.5488366826785
4902,2290.352,2206.994540689255
8193,2656.542,2090.8874992151477
7588,1845.5976,1617.5177927047118
7484,671.1264,3649.3456827404416
487,75.2354,-649.8507956899167
5476,193.7478,-801.0438126775746
2420,998.7,3915.376128824676
2894,1384.1982,3185.5858953390352
3583,5660.6316,3156.3327947627804
1070,952.7598,794.266822460653
134,952.094,2674.7169398055594
7575,641.8312,3919.350959821384
1454,107.8596,-832.6542864081855
5871,129.831,366.49606881800514
5864,1201.769,1106.2201468287983
4512,383.5008,917.2124129962124
3053,34.6216,-1123.3809509366074
7286,1102.5648,996.1121500307992
5397,61.9194,-760.9283804885049
6970,1416.8224,1084.4747711187938
2560,1609.9044,2217.132022729559
2026,3425.541,3665.703322129103
6578,1418.154,1515.916305319178
3069,1736.4064,3298.4069452790964
318,3877.6192,2304.474365835822
4189,3238.4512,2824.40735170268
5306,1054.6272,1453.5506453312519
3391,2376.906,1896.5328565445711
1121,593.2278,1091.171711962237
6576,1034.6532,778.2147257880813
2899,2709.1402,3239.996498624776
7082,2801.6864,2832.90948747286
5268,1323.6104,3297.723373636266
4323,978.726,701.107568712456
6096,1747.725,1926.9811188316623
1643,1198.44,2377.0883822131163
6614,406.138,754.2591611648993
2134,490.0288,1949.3277099250806
1382,639.168,673.9319127563284
5061,402.809,1219.5692845570698
6124,1062.6168,1536.8459535154225
5455,982.7208,2003.6372983551503
4425,998.7,1650.5732074901384
4355,4327.7,3432.5555196828072
509,95.8752,-438.42513515308906
3671,2036.6822,1945.428473121112
6900,4314.384,3128.680524480994
3286,8138.7392,5508.864489401596
7951,4218.5088,4141.882340018471
7245,517.3266,975.689692618959
2453,1325.6078,1851.1365738031914
6906,6454.931,4331.161689745042
971,615.1992,999.3558239916811
313,1677.816,2482.89579700795
7871,1677.816,2221.1305024940693
3202,539.298,554.0983396704812
5759,784.9782,2242.963363183363
5583,3520.0846,3332.765239808111
4858,1607.2412,1408.7707214975064
7248,1289.6546,1662.3700826476816
7802,1444.1202,2568.572492344052
8220,2621.9204,2046.1748673783338
558,2876.256,3101.952181638405
4904,4673.916,2514.222931287829
276,7452.9652,4034.0933823729283
1540,716.4008,1036.9785128160672
7511,3111.9492,2660.186899510034
3474,755.0172,25.207604804189486
4139,394.1536,551.2156983303023
1984,4086.0146,3758.6671918184165
2285,3202.498,2094.5507696401855
2615,7201.2928,5009.848575071221
3891,1358.232,1509.2112963311417
7784,2681.8424,2180.2099795944505
6444,3844.995,3801.9886507347255
6308,691.1004,1814.3726249760641
1942,3105.957,3142.7000456314254
2569,4402.2696,2464.16570873567
1977,2713.135,3188.526146701681
1220,2884.2456,2299.5923478762443
5601,3113.2808,3577.278600427613
8499,2976.126,1737.7682178305486
3182,1142.5128,1430.487625733306
2381,4374.306,3862.8863601347566
2585,4225.1668,3138.3983428990787
6390,4434.228,3498.9514359641453
4887,1749.7224,1856.7587125346633
8066,4171.9028,2650.0854360629446
286,296.9468,542.9214389211122
994,2982.784,2636.010629698243
2586,139.818,-1171.2233690280134
4753,3793.7284,2724.9746703875035
1952,554.6114,1387.6901882701916
7984,1245.046,1691.4447402648802
7356,974.0654,1468.921333996651
5904,517.9924,4022.3714299425073
72,4604.6728,2531.811378445036
519,5344.3766,5046.330806826067
5081,1342.2528,1588.1186279986885
4978,1784.344,2824.6858656766753
7150,4407.596,3440.198560706498
548,2094.6068,1736.4052033712292
2888,2167.179,1736.5789467121672
7428,1845.5976,1654.9116362499965
1892,1583.9382,2051.886360565424
8007,262.3252,2139.0541185330953
6702,1179.1318,846.7137561231807
5356,1158.492,3127.138448172822
1955,1514.695,1573.1335158876063
5362,1006.6896,1754.852919337524
7667,2253.0672,2086.536438790514
2190,934.7832,521.3755065697505
5564,751.0224,1049.1083405549487
3711,1619.2256,1649.3306589974825
1675,2007.387,2348.0548376407733
6257,1342.2528,2185.2997391009376
842,1470.0864,1031.623183878059
247,974.7312,2665.1226465569544
8025,207.7296,-1051.6637696227056
8516,858.882,649.2378603070249
4110,2621.9204,1648.9239150357812
3573,1518.024,2391.7273976329443
2217,2428.8384,2309.6969677841835
7779,1258.362,1404.8002034956287
4339,1114.5492,1944.616517540952
5553,2456.802,3867.839720934141
6285,2902.888,2303.862563605193
5335,339.558,683.8666381725667
3993,529.9768,2241.4736214685427
3485,666.4658,855.5979545429851
3996,110.5228,-74.3672457466946
2565,3844.995,3107.205986501719
4999,2324.9736,3819.9658700401233
6934,2616.594,4254.394868475329
4770,253.004,127.38582199154507
3083,7534.1928,2951.4212789173444
725,918.804,2159.3719845604805
2682,3531.4032,2340.9369387935367
7922,801.6232,2460.708455301964
1741,614.5334,844.3811663247936
6721,1573.9512,2152.3879794473414
6897,3261.7542,2360.053271541804
779,597.2226,819.5458912731696
50,3134.5864,2415.913634609082
4696,2534.0348,3595.7897630940715
7639,123.173,195.80483721612177
7978,3350.3056,2950.7364520578803
406,5770.4886,3408.4642078633096
4234,3379.6008,3022.4320290623155
5514,3880.2824,2073.076059356459
4034,107.8596,145.76141780437047
6652,715.0692,1937.6241129287193
2655,2066.6432,2089.658393841509
2141,5294.4416,4490.7174926574435
6291,441.4254,1980.6743047005837
6519,2504.7396,2165.8014564768646
2617,1522.0188,2312.127259087838
6784,610.5386,1410.7764323533218
3465,1518.024,2876.3449338446553
156,262.3252,1825.8628775259367
8502,3020.0688,3388.3691589170385
2795,308.9312,633.2384450400839
6627,343.5528,883.3893821894374
6518,2259.0594,3915.3726731954757
578,4655.2736,3878.1634964008745
4302,3338.987,3099.673685949524
8096,1163.8184,1081.150399674436
2948,3868.9638,3084.929402023269
4004,4327.7,4221.918716304684
2872,796.9626,784.1048684030811
2653,4195.8716,2930.763591185697
8111,363.5268,1295.2763104308146
1308,343.5528,1948.7648546464359
317,452.744,1820.587726840244
5587,1231.73,703.9696303396568
5817,596.5568,517.1206574624177
7573,3435.528,2323.9195957207794
2958,3350.3056,2978.510524996859
1812,1597.92,1652.6110364588553
7785,3146.5708,2798.725325511419
2531,2087.9488,2349.532580769901
4627,4727.18,3128.9157785885636
7289,1651.184,1748.6888785591461
4957,298.2784,-710.260348249902
6418,185.0924,-408.920551243267
188,2336.958,2900.7190233139954
2004,4777.7808,3207.790869281932
4235,494.0236,605.4459727741037
5129,3427.5384,2525.5937570324077
217,260.9936,2254.4034745050494
2405,2109.2544,1809.4069805963716
5168,282.2992,762.0167860393726
3753,3998.7948,3476.717888967156
1978,447.4176,936.9643232245935
4226,476.047,1531.1368539475943
5992,3243.7776,3862.5015283231714
6005,1693.7952,1790.9019402282615
2767,185.7582,1873.6697361855893
2760,2588.6304,2311.7701030774642
4160,1938.8096,2331.095084169072
4338,5704.5744,4638.373198892736
1334,4098.6648,1786.9980682601445
1597,1893.5352,2828.8724986584984
7482,3467.4864,1499.4596900403376
8335,708.4112,867.7800880680029
1833,1985.4156,2311.133530029115
7970,2157.192,2830.2254488225153
1514,3368.948,3761.544653991152
2887,6359.7216,3877.6643269050555
2423,1225.072,1039.893508770011
6035,88.5514,-440.88562475320714
7301,3728.48,2915.8855224658164
1063,568.5932,434.18850467780527
4912,4853.682,2923.1314836598667
1172,2251.7356,1927.500113841291
8105,1155.8288,1430.726109208808
2929,4604.6728,3795.159972108886
7323,1188.453,3710.1389162645874
1972,1120.5414,1137.701292285207
1768,1398.18,1601.7203881686237
122,186.424,-325.11469352941117
4488,1406.1696,1378.9570482299316
1529,3749.7856,2620.2772137387237
1621,3755.112,3033.3482531240525
7278,326.242,719.4549183606598
4942,2221.1088,2861.0813957902155
1928,1897.53,1981.9934451166134
2890,2846.295,2738.7936059720287
1087,1522.0188,3956.270424338183
5036,4094.67,2546.9983250123996
8437,2596.62,1649.0373472429224
6129,1693.7952,2192.3120239007294
294,5499.508,4521.316458145289
7132,2449.4782,3166.280727330769
6197,2526.711,3272.808354982383
7870,1480.0734,2680.3031154485325
5439,1581.9408,1080.2985463023379
8438,3034.0506,2232.5673312264817
1642,211.7244,-52.620632756005534
1234,872.198,1290.0653548546152
1185,822.263,639.5551314195066
3046,295.6152,454.7525847860895
384,3523.4136,2147.704875367809
3756,5552.1062,2555.46609173696
7476,1494.0552,1410.876044823226
2663,102.5332,-168.9604397244732
4982,3367.6164,2960.328578562113
4987,455.4072,498.93571306235594
684,5159.2842,3054.2443041403703
8022,5812.434,3027.2153122787804
4085,2120.573,2640.4427241747444
7110,2644.5576,3529.510450551771
1533,1943.4702,1456.2720218864358
451,1816.3024,1397.12680990154
4237,1404.1722,1232.2746854497475
2640,1288.9888,2400.1975592007384
1376,1151.1682,2435.779438861826
1914,515.3292,-374.42564174336326
5866,6636.6944,3695.203774168983
2980,3101.2964,2850.068570848048
1490,486.034,1973.8706925402703
4629,447.4176,2048.602769115285
5777,335.5632,860.2847049996954
4030,1318.284,1825.8687453739078
1811,468.7232,861.0384372866729
2038,1470.0864,2966.327875614591
6159,697.0926,1834.2928642267514
5313,750.3566,1726.7213805721108
6134,8217.3036,5463.409836678886
1536,2320.9788,2559.1140687188663
2604,3956.8494,3027.1224574320495
5598,1882.2166,2693.838170229701
396,3707.1744,3733.135066613546
8376,3717.8272,3632.8664275998517
6157,583.2408,1489.5711574569566
14,1977.426,3108.102484230223
5546,1980.755,3287.00589848228
1900,4566.0564,3910.0326926407315
2475,361.5294,76.82080890902785
7343,8209.314,4325.154059931095
6939,886.8456,1194.5088926069616
7658,826.2578,2223.7899172649563
4092,647.1576,2325.50071822716
4857,722.393,1390.842042969594
5603,169.779,897.7477994391907
4178,653.1498,3466.9350317806347
7160,1318.284,1421.452815971314
8407,575.2512,2281.0595364370693
6752,882.8508,2414.595835446711
4716,3182.524,2616.73137721103
90,369.519,167.56171593846534
5421,2149.2024,2774.927667806185
5326,3950.1914,3711.90418649003
5632,2852.2872,2462.760065102735
5354,272.978,-1039.9127607472647
8167,1857.582,2271.8168967028178
3126,2090.612,3151.0598284438774
6020,1218.414,858.6662787994035
3050,3761.77,2402.538177876935
3490,1687.1372,3812.237756510378
6669,1670.4922,1992.9146502938172
4948,1981.4208,3888.7988605389774
6047,1488.063,1573.4510347840514
15,1547.3192,919.9575839728077
1315,1413.4934,1827.425122426137
8484,2324.9736,1934.985409249096
2693,3408.896,4196.635717739001
5183,2458.1336,2748.6617758044986
6413,447.4176,1111.9142053339406
5296,3159.8868,3772.5690682624936
5248,3709.8376,4122.621305823909
